# make acceptance on clean tree (git status empty) at HEAD 3f88b39, 2026-09-16 PDT
| scenario | feature | evidence level | result |
|---|---|---|---|
| normal-report | F3 | deterministic loop + read-only evidence | PASS |
| fault-report | F3 | deterministic provider failure handoff | PASS |
| budget-refusal | F2 | deterministic budget refusal | PASS |
| deadline-refusal | F2 | deterministic deadline refusal | PASS |
| pause-cancel | F2/F12 | durable human control projection | PASS |
| late-result | F2/F12 | stale completion rejection | PASS |
| worker-restart | F2/F8 | committed evidence survives worker restart | PASS |
| incompatible-state | F2/F8 | incompatible state blocked handoff | PASS |
| real-deepseek-record | F3 | real ledger-backed Run (historical, handoff) | PASS |
